num_res,num_rot,alpha,p,shots,mean_iter,mean_shots,num_qubits
3,5,0.2,7,10,23.0,230.0,15
3,5,0.2,7,15,24.0,360.0,15
3,5,0.2,7,20,78.0,1560.0,15
3,5,0.2,7,25,6.0,150.0,15
3,5,0.2,7,30,22.0,660.0,15
3,5,0.2,7,35,8.0,280.0,15
4,3,0.2,1,15,5.0,75.0,12
4,3,0.2,1,20,12.0,240.0,12
4,3,0.2,1,25,8.0,200.0,12
4,3,0.2,1,30,1.0,30.0,12
4,3,0.2,1,35,2.0,70.0,12
4,3,0.2,2,10,9.0,90.0,12
4,3,0.2,2,15,5.0,75.0,12
4,3,0.2,2,20,13.0,260.0,12
4,3,0.2,2,25,2.0,50.0,12
4,3,0.2,2,30,3.0,90.0,12
4,3,0.2,2,35,2.0,70.0,12
4,3,0.2,3,10,24.0,240.0,12
4,3,0.2,3,15,27.0,405.0,12
4,3,0.2,3,20,13.0,260.0,12
4,3,0.2,3,25,8.0,200.0,12
4,3,0.2,3,30,8.0,240.0,12
4,3,0.2,3,35,2.0,70.0,12
4,3,0.2,4,10,3.0,30.0,12
4,3,0.2,4,15,14.0,210.0,12
4,3,0.2,4,20,12.0,240.0,12
4,3,0.2,4,25,8.0,200.0,12
4,3,0.2,4,30,3.0,90.0,12
4,3,0.2,4,35,4.0,140.0,12
4,3,0.2,5,10,8.0,80.0,12
4,3,0.2,5,15,3.0,45.0,12
4,3,0.2,5,20,3.0,60.0,12
4,3,0.2,5,25,8.0,200.0,12
4,3,0.2,5,30,6.0,180.0,12
4,3,0.2,5,35,1.0,35.0,12
4,3,0.2,6,10,11.0,110.0,12
4,3,0.2,6,15,4.0,60.0,12
4,3,0.2,6,20,13.0,260.0,12
4,3,0.2,6,25,3.0,75.0,12
4,3,0.2,6,30,6.0,180.0,12
4,3,0.2,6,35,3.0,105.0,12
4,3,0.2,7,10,21.0,210.0,12
4,3,0.2,7,15,9.0,135.0,12
4,3,0.2,7,20,9.0,180.0,12
4,3,0.2,7,25,4.0,100.0,12
4,3,0.2,7,30,6.0,180.0,12
4,3,0.2,7,35,1.0,35.0,12
4,4,0.2,1,10,6.0,60.0,16
4,4,0.2,1,20,14.0,280.0,16
4,4,0.2,1,25,17.0,425.0,16
4,4,0.2,1,30,9.0,270.0,16
4,4,0.2,1,35,2.0,70.0,16
4,4,0.2,2,20,5.0,100.0,16
4,4,0.2,2,25,3.0,75.0,16
4,4,0.2,2,30,20.0,600.0,16
4,4,0.2,3,20,13.0,260.0,16
4,4,0.2,3,25,9.0,225.0,16
4,4,0.2,3,30,40.0,1200.0,16
4,4,0.2,3,35,10.0,350.0,16
4,4,0.2,4,20,3.0,60.0,16
4,4,0.2,4,25,3.0,75.0,16
4,4,0.2,4,30,12.0,360.0,16
4,4,0.2,4,35,18.0,630.0,16
4,4,0.2,5,10,21.0,210.0,16
4,4,0.2,5,15,43.0,645.0,16
4,4,0.2,5,20,29.0,580.0,16
4,4,0.2,5,30,9.0,270.0,16
4,4,0.2,5,35,5.0,175.0,16
4,4,0.2,6,10,32.0,320.0,16
4,4,0.2,6,15,16.0,240.0,16
4,4,0.2,6,20,14.0,280.0,16
4,4,0.2,6,25,26.0,650.0,16
4,4,0.2,6,30,6.0,180.0,16
4,4,0.2,6,35,6.0,210.0,16
4,4,0.2,7,10,46.0,460.0,16
4,4,0.2,7,15,24.0,360.0,16
4,4,0.2,7,25,1.0,25.0,16
4,4,0.2,7,30,47.0,1410.0,16
4,4,0.2,7,35,3.0,105.0,16
4,5,0.2,1,15,11.0,165.0,20
4,5,0.2,1,30,20.0,600.0,20
4,5,0.2,2,10,5.0,50.0,20
4,5,0.2,2,15,10.0,150.0,20
4,5,0.2,2,20,12.0,240.0,20
4,5,0.2,2,25,11.0,275.0,20
4,5,0.2,2,30,33.0,990.0,20
4,5,0.2,2,35,14.0,490.0,20
4,5,0.2,3,20,19.0,380.0,20
4,5,0.2,3,30,5.0,150.0,20
4,5,0.2,3,35,28.0,980.0,20
4,5,0.2,4,10,23.0,230.0,20
4,5,0.2,4,15,6.0,90.0,20
4,5,0.2,4,25,19.0,475.0,20
4,5,0.2,4,35,13.0,455.0,20
4,5,0.2,5,15,31.0,465.0,20
4,5,0.2,5,20,47.0,940.0,20
4,5,0.2,5,25,12.0,300.0,20
4,5,0.2,5,30,17.0,510.0,20
4,5,0.2,5,35,69.0,2415.0,20
4,5,0.2,6,10,50.0,500.0,20
4,5,0.2,6,15,21.0,315.0,20
4,5,0.2,6,20,4.0,80.0,20
4,5,0.2,6,25,28.0,700.0,20
4,5,0.2,6,30,31.0,930.0,20
4,5,0.2,6,35,13.0,455.0,20
4,5,0.2,7,10,12.0,120.0,20
4,5,0.2,7,15,35.0,525.0,20
4,5,0.2,7,20,14.0,280.0,20
4,5,0.2,7,25,35.0,875.0,20
4,5,0.2,7,30,37.0,1110.0,20
3,3,0.2,1,10,8.0,80.0,9
3,3,0.2,1,15,6.0,90.0,9
3,3,0.2,2,10,1.0,10.0,9
3,3,0.2,2,15,1.0,15.0,9
3,3,0.2,3,10,5.0,50.0,9
3,3,0.2,3,15,2.0,30.0,9
3,3,0.2,4,10,6.0,60.0,9
3,3,0.2,4,15,3.0,45.0,9
3,3,0.2,5,10,1.0,10.0,9
