num_res,num_rot,num_qubits,alpha,p,min_iter,shots,min_shots
4,5,20,0.2,2.0,28.0,25.0,700
4,5,20,0.2,3.0,36.0,25.0,900
4,5,20,0.2,4.0,10.0,25.0,250
4,5,20,0.2,5.0,13.0,30.0,390
4,5,20,0.2,6.0,6.0,35.0,210
4,5,20,0.2,7.0,1.0,25.0,25
5,5,25,0.2,5.0,34.0,25.0,850
6,4,24,0.2,3.0,8.0,45.0,360.0
6,4,24,0.2,4.0,12.0,35.0,420.0
6,4,24,0.2,5.0,78.0,50.0,3900.0
6,4,24,0.2,6.0,5.0,45.0,225.0
6,4,24,0.2,7.0,33.0,40.0,1320.0
5,5,25,0.2,4.0,27.0,35.0,945.0
5,5,25,0.2,6.0,3.0,45.0,135.0
5,5,25,0.2,7.0,22.0,35.0,770.0
9,3,27,0.2,3.0,1.0,45.0,45.0
7,4,28,0.2,3.0,2.0,1000.0,2000.0
7,4,28,0.2,4.0,4.0,10000.0,40000.0
7,4,28,0.2,5.0,1.0,5000.0,5000.0
7,4,28,0.2,7.0,3.0,10000.0,30000.0
9,3,27,0.2,4,1.0,10000.0,10000.0
9,3,27,0.2,5,1.0,10000.0,10000.0
9,3,27,0.2,6,1.0,10000.0,10000.0
7,4,28,0.2,4,4.0,50.0,200.0
7,4,28,0.2,4,4.0,50.0,200.0
5,5,25,0.2,6.0,12.0,40.0,480.0
5,5,25,0.2,7.0,9.0,40.0,360.0
